,Court,Surface,round,Best of,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,hand_player1,height_player1,hand_player2,height_player2,age_player1,age_player2,T,Y
9921,Outdoor,Clay,1,3,34,128,1313,413,1.25,3.75,R,183.0,R,185.0,21,25,1,0
9922,Outdoor,Clay,2,3,23,52,1641,960,1.44,2.62,R,180.0,R,191.0,29,24,1,0
9923,Outdoor,Clay,2,3,99,4,593,7045,4.5,1.18,R,183.0,R,185.0,22,26,0,1
9924,Outdoor,Clay,3,3,52,32,960,1320,2.1,1.72,R,191.0,R,188.0,24,23,1,1
9925,Outdoor,Clay,3,3,4,128,7045,413,1.11,6.5,R,185.0,R,185.0,26,25,1,0
9926,Outdoor,Clay,4,3,106,128,525,413,3.0,1.4,R,180.0,R,185.0,31,25,1,1
9927,Outdoor,Clay,5,3,25,128,1550,413,1.25,4.0,R,185.0,R,185.0,23,25,0,1
9928,Outdoor,Hard,1,3,66,196,792,257,1.44,2.62,L,180.0,R,178.0,34,24,1,0
9929,Outdoor,Hard,1,3,66,196,792,257,1.44,2.62,R,185.0,R,178.0,22,24,1,0
9930,Outdoor,Hard,1,3,73,24,745,1670,1.72,2.0,R,188.0,R,180.0,30,29,0,1
9931,Outdoor,Hard,1,3,7,119,3885,457,1.16,5.0,R,198.0,R,178.0,22,30,0,0
9932,Outdoor,Hard,2,3,24,76,1670,732,1.83,1.83,R,180.0,R,180.0,29,22,1,1
9933,Outdoor,Hard,2,3,22,42,1682,1086,1.33,3.25,R,188.0,L,183.0,28,31,1,0
9934,Outdoor,Hard,3,3,20,66,1760,792,1.72,2.1,R,206.0,L,180.0,34,34,0,0
9937,Outdoor,Hard,3,3,20,66,1760,792,1.72,2.1,R,206.0,R,185.0,34,22,0,0
9938,Outdoor,Hard,1,3,89,17,661,2040,3.0,1.36,R,183.0,R,198.0,32,23,1,0
9939,Outdoor,Hard,1,3,56,93,915,641,1.72,2.0,R,185.0,R,193.0,33,23,0,1
9940,Outdoor,Hard,1,3,27,6,1500,4745,3.4,1.3,R,188.0,R,193.0,28,21,1,0
9941,Outdoor,Hard,1,3,34,12,1270,2360,3.5,1.28,R,193.0,R,183.0,29,31,0,1
9942,Outdoor,Hard,2,3,14,33,2219,1318,1.4,2.75,R,188.0,R,185.0,22,27,0,0
9943,Outdoor,Hard,2,3,47,6,1010,4745,5.0,1.16,R,196.0,R,193.0,22,21,1,0
9944,Indoor,Clay,1,3,111,88,509,669,2.25,1.57,R,188.0,L,183.0,32,25,0,1
