,surface,best_of,Round,player_hand,player_ht,player_age,player_rank,opponent_hand,opponent_ht,opponent_age,opponent_rank,log_rank_difference,T,Y
1914,Hard,3,1,R,185.0,23.2,12.0,R,188.0,19.9,64.0,-2.415037499278844,0,0
1917,Carpet,3,1,L,178.0,24.8,81.0,R,183.0,25.2,127.0,-0.6488346838875412,1,1
1920,Hard,3,1,L,190.0,24.7,75.0,R,190.0,21.3,14.0,2.421463768438277,0,0
1921,Carpet,3,1,R,185.0,23.1,78.0,L,175.0,21.0,126.0,-0.6918777046376681,1,1
1930,Hard,3,1,L,175.0,21.8,133.0,R,183.0,23.2,101.0,0.3970709527493952,0,1
1931,Hard,3,1,R,190.0,25.3,42.0,R,183.0,28.7,29.0,0.5343364276511888,1,1
1940,Hard,3,1,L,193.0,32.1,38.0,R,208.0,26.6,86.0,-1.1783372412585127,1,0
1945,Hard,3,1,L,201.0,21.5,109.0,R,188.0,20.8,317.0,-1.5401547053624816,0,0
1974,Hard,3,4,R,185.0,21.8,78.0,R,180.0,25.0,16.0,2.2854022188622487,1,0
1983,Hard,3,3,R,196.0,22.7,146.0,R,188.0,33.7,239.0,-0.7110422491007311,0,0
1985,Hard,3,2,R,183.0,25.9,82.0,R,183.0,22.6,88.0,-0.10187961401921353,0,1
2015,Grass,3,2,L,175.0,26.1,203.0,R,185.0,22.7,206.0,-0.02116460999804204,1,1
2017,Clay,3,2,R,175.0,28.6,282.0,R,180.0,17.4,293.0,-0.055205502023454756,1,1
2025,Hard,3,2,R,183.0,35.0,399.0,R,183.0,25.4,55.0,2.858885222697685,0,0
2028,Hard,3,2,L,183.0,29.0,146.0,R,188.0,18.9,25.0,2.5459683691052932,1,0
2029,Hard,3,2,R,198.0,27.4,304.0,R,193.0,20.7,56.0,2.4405725913859815,0,0
2035,Hard,3,2,R,188.0,22.6,86.0,L,180.0,26.2,9.0,3.2563397532597858,1,0
2046,Carpet,3,2,R,188.0,21.1,199.0,R,185.0,23.5,121.0,0.7177613832690541,1,1
2059,Hard,3,2,R,175.0,26.7,273.0,R,178.0,21.8,247.0,0.1443899093351746,0,0
2063,Hard,3,2,L,185.0,19.3,2.0,R,198.0,24.2,42.0,-4.392317422778761,1,1
2069,Hard,3,4,R,185.0,26.1,1.0,R,183.0,25.0,72.0,-6.169925001442312,1,1
